specialCoverageID;specialCoverageDescription
7;Irak
11;Severna Koreja
14;Bližnjevzhodna kriza
40;Kosovo
44;Iran
53;Evropska prestolnica kulture 2012
65;Afera Patria
72;Slovensko-madžarski odnosi
73;Slovensko-italijanski odnosi
75;Slovensko-avstrijski odnosi
77;Slovensko-hrvaçki odnosi
79;Izbrisani
80;Prikrita grobiçŸa
86;Afganistan
87;Podnebne spremembe
96;WikiLeaks
99;Nemiri v arabskem svetu
103;Zdravstvena reforma
109;Težave obmoŸja evra
113;Predsedniçke volitve 2012
115;Uravnoteženje javnih financ 2012
117;Sirija
126;Evropske volitve 2014
130;Ukrajina
131;Sto let 1. svetovne vojne
132;Lokalne volitve 2014
134;Državnozborske volitve 2014
137;Begunska kriza
139;Podnebna konferenca 2015
140;Referendum o izenaŸitvi partnerskih skupnosti 2015
141;Terorizem
142;Slovenija 25 let
144;Zelena prestolnica Evrope 2016